"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","3,505"
"2","Number of persons tested positive today in Tamil Nadu","260"
"","Passengers returned from other states  by Road tested 
positive today","Bihar - 1"
"","Total","261"
"3","Total Number of persons tested positive till date","34,50,594"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","51,284/ 
6,46,09,137@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","51,049/ 
6,34,34,439"
"6","No. of Male / Female / Transgender tested positive today","156/105/0"
"7","No. of Male / Female / Transgender tested positive till date","20,13,982/14,36,574/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","705/ 
34,09,078"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,011"
