"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,223"
"2","Number of persons tested positive today in Tamil Nadu","292"
"3","Total Number of persons tested positive till date","35,88,449"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,847/ 
6,96,03,414@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,728/ 
6,83,83,017"
"6","No. of Male / Female / Transgender tested positive today","170/122/0"
"7","No. of Male / Female / Transgender tested positive till date","20,92,356/14,96,055/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","358/ 
35,46,178"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
