"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 03.10.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","110","",""
"","","2","Total Discharges","4022022","",""
"","","3","Today's Tests Conducted","3440","",""
"","","4","Total Tests Conducted","69225988","",""
"","","5","Today’s New Cases Reported (02.10.2022, 00:00 to 23:59)","43","",""
"","","6","Total Active Cases","2793","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40243","",""
"","","9","Total Positive Cases","4065100","",""
"","","10","Positivity Rate for the day (02.10.2022, 00:00 to 23:59)","1.25%","",""
"","","11","*Weekly Total Positivity Rate","1.13%","",""
"","","12","Case Fatality Rate (CFR) for the day (02.10.2022, 00:00 to 23:59)","2.32%","",""
"","","13","*Weekly Case Fatality Rate","0.50%","",""
"*From 27-09-2022   to 03-10-2022 
Particulars 
Today’s 
Cumulative 
5884* 
1574356 
A 
Total Passengers screened at Air ports 
          *Date: 02-10-2022 
 
Date: 03-10 -2022 
Page 1 of 7","","","","","",""
