"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1243295","20233758"
"2","Total No. of patients tested Positive","13706","774267"
"3","No. of patients discharged","10589","750864"
"4","Total Deaths reported","76","20382"
"5","Sample collected on the day","","6482"
"6","Test conducted on the day","","7711"
"7","Positive cases on the day","","272"
"8","Number of active Cases","","3021"
"9","No. of Patients on oxygen support","","101"
"10","Patients at critical care Level-3 facilities","","15"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","6"
"13","Total Healthcare Workers vaccinated with 1st dose","","218798"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117708"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211512"
"18","Frontline Workers vaccinated with 2nd dose on the day","","36"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017520"
"20","Above 45 Vaccinated with 1st dose on the day","","141"
"21","Total Above 45 Vaccinated with 1st dose","","8337755"
"22","Above 45 Vaccinated with 2nd dose on the day","","1796"
"23","Total Above 45 Vaccinated with 2nd dose","","7588590"
"24","18-44 years age group Vaccinated with 1st dose on the day","","553"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12628799"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4939"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10542358"
"28","15-17 years age group Vaccinated with 1st dose on the day","","251"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1102835"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","846"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","827083"
"32","12-14 years age group Vaccinated with 1st dose on the day","","966"
"33","Total 12-14 years age group Vaccinated with 1st dose","","642163"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","1250"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","427371"
"36","Precautionary dose given on the day","","15779"
"37","Total Precautionary dose given","","1102853"
"38","Total Vaccination 1st dose on the day","","705"
"39","Total Vaccination 2nd dose on the day","","6775"
"40","Total Vaccination 1st and 2nd dose on the day","","7480"
