"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","677002","130","38595","0","410","24","37520","665"
"2","ALWAR","1344867","364","60826","0","308","11","59490","1028"
"3","BANSWARA","263091","36","10115","0","104","1","9902","109"
"4","BARAN","184838","2","12008","0","61","0","11939","8"
"5","BARMER","349955","40","15755","0","186","0","15400","169"
"6","BHARATPUR","407728","200","20156","0","260","3","19357","539"
"7","BHILWARA","432063","166","30232","0","156","9","29661","415"
"8","BIKANER","629801","237","41159","0","546","4","39905","708"
"9","BUNDI","193371","11","8001","0","48","0","7919","34"
"10","CHITTORGARH","390159","146","20237","0","139","6","19683","415"
"11","CHURU","355391","68","16804","0","108","0","16616","80"
"12","DAUSA","232822","109","13486","0","62","1","13298","126"
"13","DHOLPUR","240036","17","11066","0","48","1","10968","50"
"14","DUNGARPUR","277081","46","18516","0","131","0","18281","104"
"15","GANGANAGAR","359041","30","19498","0","151","4","19230","117"
"16","HANUMANGARH","425126","26","16142","0","111","0","15970","61"
"17","JAIPUR","2746935","2377","198728","1","1975","238","187070","9683"
"18","JAISALMER","217411","16","13694","0","66","0","13585","43"
"19","JALORE","400857","2","10070","0","72","0","9996","2"
"20","JHALAWAR","320992","30","13704","0","187","1","13428","89"
"21","JHUNJHUNU","415924","11","14858","0","160","0","14673","25"
"22","JODHPUR","1220916","600","114961","0","1105","28","111526","2330"
"23","KARAULI","195242","0","7163","0","71","1","7087","5"
