"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227127","221220","5879","28"
"12","Nashik","473191","464141","8911","139"
"13","Ahmednagar","377847","370537","7242","68"
"14","Jalgaon","149583","146805","2762","16"
"15","Nandurbar","46620","45657","962","1"
"16","Dhule","50793","50118","670","5"
"17","Aurangabad","176638","172308","4284","46"
"18","Jalna","66340","65109","1224","7"
"19","Beed","109227","106340","2885","2"
"20","Latur","104981","102455","2489","37"
"21","Parbhani","58589","57299","1279","11"
"22","Hingoli","22190","21668","514","8"
"23","Nanded","102695","99983","2704","8"
"24","Osmanabad","75190","73039","2139","12"
"25","Amravati","106003","104358","1624","21"
"26","Akola","66220","64729","1470","21"
"27","Washim","45697","45023","641","33"
"28","Buldhana","92054","91199","836","19"
"29","Yavatmal","81993","80164","1820","9"
"30","Nagpur","577029","567495","9215","319"
"31","Wardha","65713","64279","1408","26"
"32","Bhandara","67991","66817","1142","32"
"33","Gondia","45441","44836","587","18"
"34","Chandrapur","98915","97281","1592","42"
