"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23555","","5297","","28852",""
"2","Total Active Cases","132 
(0.59%)","","10 
(0.21%)","","142 
(0.52%)",""
"3","Total Cured/Discharged","23255 
(98.69%)","","5227 
(98.66%)","","28482 
(98.68%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","24","","00","","24",""
"6","Total Positive cases in Home Isolation","90","","09","","99",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","18","","00","","18",""
"9","No. of Samples Tested (Today)","690","","53","","743",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","681","","53","","734",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","59 
60 
13 
00 
73"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(27/07/2022)","","Test Done Today 
(28/07/2022)","","Cumulative"
"","","a)RTPCR","331788","","79","","331867"
"","","b)TRUENAT","14618","","19","","14637"
"","","c)RAT","353625","","645","","354270"
"","","d)  CBNAAT","1143","","00","","1143"
"","","TOTAL","701174","","743","","701917"
