,Unnamed: 0,44,Unnamed: 1,अम्बडेकर नगर,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,5969,Unnamed: 5,0.2,Unnamed: 6,167,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,अमठेी,,0.0,,0.0,,11520.0,,0.0,,145.0,,2.0,,,,,
1,,46,,औरैय्या,,0.0,,1.0,,10803.0,,0.0,,211.0,,2.0,,,,,
2,,47,,बस्ती,,0.0,,0.0,,12806.0,,0.0,,337.0,,2.0,,,,,
3,,48,,भदोही,,0.0,,0.0,,8488.0,,0.0,,166.0,,2.0,,,,,
4,,49,,चचत्रकूट,,0.0,,4.0,,7786.0,,0.0,,79.0,,2.0,,,,,
5,,50,,एटा,,1.0,,0.0,,12107.0,,0.0,,100.0,,2.0,,,,,
6,,51,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
7,,52,,बदाय,,0.0,,0.0,,17915.0,,0.0,,101.0,,1.0,,,,,
8,,53,,बललया,,1.0,,0.0,,22518.0,,0.0,,246.0,,1.0,,,,,
9,,54,,बबजनौर,,0.0,,3.0,,18296.0,,0.0,,139.0,,1.0,,,,,
10,,55,,हरदोई,,0.0,,1.0,,17297.0,,0.0,,373.0,,1.0,,,,,
11,,56,,हाथरस,,0.0,,0.0,,3720.0,,0.0,,43.0,,1.0,,,,,
12,,57,,कौशाम्बी,,0.0,,0.0,,4880.0,,0.0,,72.0,,1.0,,,,,
13,,58,,कुशीनगर,,0.0,,0.0,,16242.0,,0.0,,235.0,,1.0,,,,,
14,,59,,महोबा,,1.0,,0.0,,4474.0,,0.0,,89.0,,1.0,,,,,
15,,60,,लमर्ाुपरु,,0.0,,0.0,,11960.0,,0.0,,126.0,,1.0,,,,,
16,,61,,रामपरु,,0.0,,0.0,,14618.0,,0.0,,153.0,,1.0,,,,,
17,,62,,सहारनपरु,,0.0,,0.0,,38389.0,,0.0,,428.0,,1.0,,,,,
18,,63,,सीतापरु,,0.0,,0.0,,15767.0,,0.0,,189.0,,1.0,,,,,
19,,64,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
20,,65,,बहराइच,,0.0,,0.0,,13419.0,,0.0,,178.0,,0.0,,,,,
21,,66,,गाजीपरु,,0.0,,0.0,,23879.0,,0.0,,295.0,,0.0,,,,,
22,,67,,हापड़ु,,0.0,,0.0,,15201.0,,0.0,,224.0,,0.0,,,,,
23,,68,,कानपरु देहात,,0.0,,0.0,,7127.0,,0.0,,111.0,,0.0,,,,,
24,,69,,कासगजं,,0.0,,0.0,,4894.0,,0.0,,55.0,,0.0,,,,,
25,,70,,मऊ,,0.0,,0.0,,8941.0,,0.0,,86.0,,0.0,,,,,
26,,71,,पीलीभीत,,0.0,,0.0,,12730.0,,0.0,,205.0,,0.0,,,,,
27,,72,,प्रतापगढ़,,0.0,,0.0,,16758.0,,0.0,,163.0,,0.0,,,,,
28,,73,,सतं कबीर नगर,,0.0,,0.0,,8855.0,,0.0,,101.0,,0.0,,,,,
29,,74,,शामली,,0.0,,0.0,,16705.0,,0.0,,48.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5238.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,124.0,,123.0,,2054484.0,,0.0,,23519.0,,885.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23519 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
