"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18066","","3657","","21723",""
"2","Total Active Cases","249 
(1.38%)","","21 
(0.57%)","","270 
(1.24%)",""
"3","Total Cured/ Discharged","17660 
(97.8%)","","3578                                  
(97.8%)","","(97.8%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","200","","21","","221",""
"7","COVID Care Centre","18","","0","","18",""
"8","Facility Isolation","15","","0","","15",""
"9","No. of Samples Tested (Today)","514","","331","","845",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","504","","331","","835",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","228 
           00 
       00 
           09 
          237"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(05/12/2021)","","Test Done Today 
(06/12/2021)","","Cumulative"
"","","a)  RTPCR","236419","","590","","237009"
"","","b)  TRUENAT","11090","","07","","11097"
"","","c)  RAT","333671","","248","","333919"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","581352","","845","","582197"
