"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22930","","5275","","28205",""
"2","Total Active Cases","31 
(0.14%)","","02 
(0.04%)","","33 
(0.12%)",""
"3","Total Cured/ Discharged","22731 
(99.1%)","","5213                                  
(98.8%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","0","","09",""
"6","Total Positive cases in Home Isolation","12","","02","","14",""
"7","COVID Care Centre","10","","00","","10",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","207","","07","","214",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","204","","07","","211",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","147 
        00 
        00 
        00 
       147"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(19/03/2022)","","Test Done Today 
(20/03/2022)","","Cumulative"
"","","a)  RTPCR","312930","","188","","313118"
"","","b)  TRUENAT","12710","","16","","12726"
"","","c)  RAT","347295","","10","","347305"
"","","d)  CBNAAT","913","","00","","913"
"","","TOTAL","673848","","214","","674062"
