"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,668+2","15,531+4","102","35-2","19-Nov-21"
"2","Coochbehar","29,517+17","29,297+11","97","123+6","19-Nov-21"
"3","Darjeeling","57,702+39","56,861+27","546","295+12","19-Nov-21"
"4","Kalimpong","7,108+1","7,021+3","54","33-2","19-Nov-21"
"5","Jalpaiguri","42,246+19","41,523+13","584","139+6","19-Nov-21"
"6","Uttar Dinajpur","20,023+8","19,710+7","240","73+1","19-Nov-21"
"7","Dakshin Dinajpur","18,355+16","17,956+22","172","227-6","19-Nov-21"
"8","Malda","33,614+4","33,327+10","187","100-6","19-Nov-21"
"9","Murshidabad","34,094+3","33,712+5","330","52-2","19-Nov-21"
"10","Nadia","74,039+29","72,818+33","875+1","346-5","19-Nov-21"
"11","Birbhum","41,476+13","41,043+14","289+1","144-2","19-Nov-21"
"12","Purulia","19,455+1","19,323+2","114","18-1","19-Nov-21"
"13","Bankura","36,705+2","36,241+20","276","188-18","19-Nov-21"
"14","Jhargram","12,245+1","12,170+5","27","48-4","19-Nov-21"
"15","Paschim Medinipur","53,948+19","53,264+17","508","176+2","19-Nov-21"
"16","Purba Medinipur","63,293+7","62,793+10","400","100-3","19-Nov-21"
"17","Purba Bardhaman","42,423+20","42,016+20","202","205","19-Nov-21"
"18","Paschim Bardhaman","58,210+19","57,630+21","358+1","222-3","19-Nov-21"
"19","Howrah","1,00,044+54","97,868+62","1,532","644-8","19-Nov-21"
"20","Hooghly","87,601+64","85,936+63","1,007","658+1","19-Nov-21"
"21","North 24 Parganas","3,32,059+125","3,25,800+131","4,896+3","1,363-9","19-Nov-21"
"22","South 24 Parganas","1,02,307+61","1,00,272+65","1,365+3","670-7","19-Nov-21"
"23","Kolkata","3,26,920+201","3,19,522+210","5,212+3","2,186-12","19-Nov-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","16,09,118+725","15,81,697+775","19,376+12","8,045-62",""
