"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22703","","5268","","27971",""
"2","Total Active Cases","215 
(0.95%)","","15 
(0.3%)","","230 
(0.8%)",""
"3","Total Cured/ Discharged","22320 
(98.3%)","","5193                                  
(98.6%)","","(98.4%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","96","","15","","111",""
"7","COVID Care Centre","109","","00","","109",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","607","","167","","774",""
"10","No. of Samples Positive (Today)","24","","00","","24",""
"11","No. of Samples Negative (Today)","579","","167","","746",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","437 
        00 
        00 
        19 
       456"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(24/01/2022)","","Test Done Today 
(25/02/2022)","","Cumulative"
"","","a)  RTPCR","301460","","642","","302102"
"","","b)  TRUENAT","12216","","24","","12240"
"","","c)  RAT","346422","","103","","346525"
"","","d)  CBNAAT","812","","05","","812"
"","","TOTAL","660910","","774","","661684"
