"Total No. of Sample Taken Today","8,699"
"Total No. of Positive Cases Detected Today","398"
"Total Active COVID-19 Patients","1662"
"Total No. of Active Cases under Home Isolation (13-06-2022)","1640"
"Total No. of Samples found Positive till date","1006061"
"Total Positive COVID-19 Patients Recovered / Discharged till date","993755"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","25008 
(1st Dose: 1592 
2nd Dose: 10528 
Precaution Dose: 12888)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23552776 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19340178 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","811943"
"Cumulative Coverage of Total COVID-19 Vaccination","43704897"
"COVID-19 Today (13-06-2022) Positivity Rate","3.82%"
"Recovery Rate","98.78%"
"Fatality Rate","1.06%"
