"Total No. of Sample Taken Today","6410"
"Total No. of Positive Cases Detected Today","59"
"Total Active COVID-19 Patients","257"
"Total No. of Active Cases under Home Isolation (06-04-2022)","250"
"Total No. of Samples found Positive till date","985538"
"Total Positive COVID-19 Patients Recovered / Discharged till date","974641"
"No. of Deaths","10617"
"Total No. of People Vaccinated Today","16142 
(1st Dose: 3788 
2nd Dose: 10382 
Precaution Dose: 1972)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23181004 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18536439 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","288353"
"Cumulative Coverage of Total COVID-19 Vaccination","42005796"
"COVID-19 Today (06-04-2022) Positivity Rate","0.91%"
"Recovery Rate","98.89%"
"Fatality Rate","1.08%"
"Tests Per Million Population","674870"
