"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","728839","168","47028","0","424","297","44349","2255"
"2","ALWAR","1438073","410","81123","0","316","1030","75324","5483"
"3","BANSWARA","282581","44","12918","1","105","205","11661","1152"
"4","BARAN","203350","49","14218","0","62","144","13347","809"
"5","BARMER","382509","89","20963","0","196","77","19745","1022"
"6","BHARATPUR","443837","248","30180","0","264","500","27615","2301"
"7","BHILWARA","468104","192","36358","0","157","122","33861","2340"
"8","BIKANER","674383","95","48153","0","568","258","46625","960"
"9","BUNDI","209697","82","9212","0","51","43","8704","457"
"10","CHITTORGARH","425834","396","28067","1","140","517","27058","869"
"11","CHURU","387323","117","19544","0","111","163","18776","657"
"12","DAUSA","254572","39","15376","1","71","63","14898","407"
"13","DHOLPUR","258265","77","13214","0","49","126","12245","920"
"14","DUNGARPUR","310537","87","23755","0","133","227","22304","1318"
"15","GANGANAGAR","387670","233","25324","0","153","92","21835","3336"
"16","HANUMANGARH","456175","178","21292","0","114","429","20103","1075"
"17","JAIPUR","3009522","1230","257285","4","2051","2416","239685","15549"
"18","JAISALMER","231488","94","16065","0","68","104","15423","574"
"19","JALORE","421544","10","10424","0","77","41","10223","124"
"20","JHALAWAR","341704","102","16722","0","199","173","15859","664"
"21","JHUNJHUNU","447599","40","17338","1","171","76","16358","809"
"22","JODHPUR","1302740","633","135166","0","1142","1000","129812","4212"
"23","KARAULI","213357","3","8352","2","79","94","8024","249"
