"S. No","Subject","Number"
"1","Total Number of people vaccinated on 19th Feb","4,07,918"
"2","First Dose on 19th Feb","30,194"
"3","Second Dose on 19th Feb","3,53,373"
"4","Precaution Dose on 19th Feb","24,351"
"5","Cumulative Vaccination till 19th Feb","12,74,39,690"
"6","Cumulative Vaccination First Dose","6,95,50,781"
"7","Cumulative Vaccination Second Dose","5,63,73,306"
"8","Cumulative Precaution Dose","15,15,603"
"9","Number of CVC (Common Vaccination Centres)","4,769"
"10","Cumulative AEFI cases reported","6,920"
"11","Vaccine wastage","-7%"
