"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","18,855+14","18,526+44","110","219-30","18-Feb-22"
"2","Coochbehar","33,930+9","33,629+40","106","195-31","18-Feb-22"
"3","Darjeeling","68,950+8","68,020+69","596","334-61","18-Feb-22"
"4","Kalimpong","8,498+2","8,372+14","57","69-12","18-Feb-22"
"5","Jalpaiguri","49,533+14","48,570+64","647","316-50","18-Feb-22"
"6","Uttar Dinajpur","25,090+4","24,713+23","266+1","111-20","18-Feb-22"
"7","Dakshin Dinajpur","23,027+4","22,669+34","193","165-30","18-Feb-22"
"8","Malda","44,381+13","43,940+49","199+1","242-37","18-Feb-22"
"9","Murshidabad","41,585+3","41,080+31","356","149-28","18-Feb-22"
"10","Nadia","87,516+17","86,199+77","940","377-60","18-Feb-22"
"11","Birbhum","57,631+15","56,978+61","350","303-46","18-Feb-22"
"12","Purulia","24,190+1","23,978+19","122","90-18","18-Feb-22"
"13","Bankura","43,821+8","43,304+47","286","231-39","18-Feb-22"
"14","Jhargram","15,529+5","15,425+15","30","74-10","18-Feb-22"
"15","Paschim Medinipur","62,484+9","61,732+46","529","223-37","18-Feb-22"
"16","Purba Medinipur","67,791+3","67,231+25","440","120-22","18-Feb-22"
"17","Purba Bardhaman","55,350+10","54,888+45","238","224-35","18-Feb-22"
"18","Paschim Bardhaman","75,568+13","74,911+45","431","226-32","18-Feb-22"
"19","Howrah","1,24,918+10","1,23,028+52","1,638","252-42","18-Feb-22"
"20","Hooghly","1,07,863+15","1,06,447+60","1,119","297-45","18-Feb-22"
"21","North 24 Parganas","4,02,673+46","3,96,340+206","5,326+5","1,007-165","18-Feb-22"
"22","South 24 Parganas","1,27,139+20","1,25,239+80","1,504+2","396-62","18-Feb-22"
"23","Kolkata","4,46,687+38","4,40,026+211","5,633+3","1,028-176","18-Feb-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","20,13,075+281","19,85,308+1,357","21,119+12","6,648-1,088",""
