"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","570309","19559178"
"2","Total No. of patients tested Positive","1229","760308"
"3","No. of patients discharged","1176","742426"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","11238"
"6","Test conducted on the day","","11261"
"7","Positive cases on the day","","23"
"8","Number of active Cases","","130"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218619"
"14","Frontline Workers vaccinated with 1st dose on the day","","17"
"15","Total Frontline Workers vaccinated with 1st dose","","1117267"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","20"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210061"
"18","Frontline Workers vaccinated with 2nd dose on the day","","75"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012247"
"20","Above 45 Vaccinated with 1st dose on the day","","535"
"21","Total Above 45 Vaccinated with 1st dose","","8313337"
"22","Above 45 Vaccinated with 2nd dose on the day","","8801"
"23","Total Above 45 Vaccinated with 2nd dose","","7255065"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1983"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12554152"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","17817"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9845500"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1477"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1073495"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3558"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","704819"
"32","12-14 years age group Vaccinated with 1st dose on the day","","3351"
"33","Total 12-14 years age group Vaccinated with 1st dose","","570375"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","6145"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","263850"
"36","Precautionary dose given on the day","","4297"
"37","Total Precautionary dose given","","635839"
"38","Total Vaccination 1st dose on the day","","2540"
"39","Total Vaccination 2nd dose on the day","","26713"
"40","Total Vaccination 1st and 2nd dose on the day","","29253"
