"Total No. of Sample Taken Today","13640"
"Total No. of Positive Cases Detected Today","625"
"Total Active COVID-19 Patients","2341"
"Total No. of Active Cases under Home Isolation (16-06-2022)","2303"
"Total No. of Samples found Positive till date","1007712"
"Total Positive COVID-19 Patients Recovered / Discharged till date","994727"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","27966 
(1st Dose: 1893 
2nd Dose: 11461 
Precaution Dose: 14612)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23556268 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19360922 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","839720"
"Cumulative Coverage of Total COVID-19 Vaccination","43756910"
"COVID-19 Today (16-06-2022) Positivity Rate","5.34%"
"Recovery Rate","98.71%"
"Fatality Rate","1.05%"
