"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","73","0","0","8","26"
"2","ALWAR","98","1","0","7","40"
"3","BANSWARA","25","1","0","5","9"
"4","BARAN","58","0","0","0","1"
"5","BARMER","19","0","0","0","0"
"6","BHARATPUR","13","0","0","0","3"
"7","BHILWARA","54","0","0","0","8"
"8","BIKANER","146","2","0","0","18"
"9","BUNDI","2","0","0","3","5"
"10","CHITTORGARH","21","0","0","0","26"
"11","CHURU","19","0","0","0","0"
"12","DAUSA","62","0","0","2","13"
"13","DHOLPUR","7","0","0","0","3"
"14","DUNGARPUR","1","0","0","0","14"
"15","GANGANAGAR","45","0","0","0","3"
"16","HANUMANGARH","19","0","0","0","4"
"17","JAIPUR","893","9","1","24","118"
"18","JAISALMER","0","0","0","0","0"
"19","JALORE","25","0","0","11","3"
"20","JHALAWAR","15","0","0","0","2"
"21","JHUNJHUNU","37","0","0","0","0"
"22","JODHPUR","104","0","0","7","37"
"23","KARAULI","19","0","0","0","5"
"24","KOTA","533","7","0","6","46"
"25","NAGAUR","72","0","0","2","2"
"26","PALI","41","1","0","0","14"
