"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227092","221199","5879","14"
"12","Nashik","473019","464026","8911","82"
"13","Ahmednagar","377785","370506","7242","37"
"14","Jalgaon","149563","146790","2761","12"
"15","Nandurbar","46618","45655","962","1"
"16","Dhule","50779","50106","670","3"
"17","Aurangabad","176578","172276","4284","18"
"18","Jalna","66334","65109","1224","1"
"19","Beed","109224","106332","2885","7"
"20","Latur","104945","102428","2489","28"
"21","Parbhani","58576","57296","1279","1"
"22","Hingoli","22180","21665","514","1"
"23","Nanded","102686","99971","2704","11"
"24","Osmanabad","75174","73034","2139","1"
"25","Amravati","105976","104345","1624","7"
"26","Akola","66201","64714","1470","17"
"27","Washim","45662","45006","641","15"
"28","Buldhana","92036","91189","836","11"
"29","Yavatmal","81984","80163","1820","1"
"30","Nagpur","576691","567297","9215","179"
"31","Wardha","65687","64271","1408","8"
"32","Bhandara","67957","66806","1142","9"
"33","Gondia","45423","44836","587","0"
"34","Chandrapur","98871","97262","1592","17"
