"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23708","","5319","","29027",""
"2","Total Active Cases","103 
(0.43%)","","08 
(0.15%)","","111 
(0.38%)",""
"3","Total Cured/Discharged","23437 
(98.85%)","","5251 
(98.7%)","","28688 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","00","","17",""
"6","Total Positive cases in Home Isolation","78","","08","","86",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","08","","00","","08",""
"9","No. of Samples Tested (Today)","219","","00","","219",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","213","","00","","213",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","56 
00 
04 
00 
60"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(08/08/2022)","","Test Done Today 
(09/08/2022)","","Cumulative"
"","","a)RTPCR","34085","","61","","34146"
"","","b)TRUENAT","14749","","11","","14760"
"","","c)RAT","357422","","147","","357569"
"","","d)  CBNAAT","1183","","00","","1183"
"","","TOTAL","707439","","219","","707658"
