"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1588023","20578487"
"2","Total No. of patients tested Positive","22881","783409"
"3","No. of patients discharged","21905","762179"
"4","Total Deaths reported","175","20481"
"5","Sample collected on the day","","10250"
"6","Test conducted on the day","","10052"
"7","Positive cases on the day","","62"
"8","Number of active Cases","","749"
"9","No. of Patients on oxygen support","","37"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218862"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117882"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211851"
"18","Frontline Workers vaccinated with 2nd dose on the day","","3"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018872"
"20","Above 45 Vaccinated with 1st dose on the day","","20"
"21","Total Above 45 Vaccinated with 1st dose","","8344484"
"22","Above 45 Vaccinated with 2nd dose on the day","","150"
"23","Total Above 45 Vaccinated with 2nd dose","","7640088"
"24","18-44 years age group Vaccinated with 1st dose on the day","","90"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12653063"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","500"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10663033"
"28","15-17 years age group Vaccinated with 1st dose on the day","","25"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111487"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","70"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","851631"
"32","12-14 years age group Vaccinated with 1st dose on the day","","85"
"33","Total 12-14 years age group Vaccinated with 1st dose","","665633"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","130"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","462283"
"36","Precautionary dose given on the day","","1137"
"37","Total Precautionary dose given","","1612029"
"38","Total Vaccination 1st dose on the day","","111"
"39","Total Vaccination 2nd dose on the day","","655"
"40","Total Vaccination 1st and 2nd dose on the day","","766"
