District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Araria,14977,116,14859,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Arwal,7381,74,7307,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Aurangabad,20011,75,19936,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Banka,7379,112,7267,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Begusarai,27210,457,26752,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Bhagalpur,25839,309,25530,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Bhojpur,10210,159,10051,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Buxar,9248,182,9066,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Darbhanga,10937,370,10567,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
Gaya,33952,280,33671,0,2021-10-26,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,2021-10-26 00:18:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726068,9661,716367,49447986
