District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Durg,96858,1797,95015,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Rajnandgaon,56072,515,55554,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Balod,27276,396,26880,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Bemetara,19962,236,19726,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Kabirdham,22770,267,22503,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Raipur,158007,3139,154840,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Dhamtari,27238,545,26688,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Baloda Bazar,43085,471,42609,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Mahasamund,31365,365,30999,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Gariyaband,19700,194,19506,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Bilaspur,65669,1208,64442,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Raigarh,62583,978,61590,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Korba,54838,580,54220,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Janjgir-Champa,57619,838,56760,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Mungeli,23920,167,23751,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Gaurella Pendra Marwahi,12010,146,11864,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Surguja,33671,245,33426,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Korea,26975,176,26798,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Surajpur,29029,224,28805,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Balrampur,20302,118,20182,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Jashpur,27085,212,26861,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Bastar,21051,188,20843,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Kondagaon,13136,99,13036,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Dantewada,10837,25,10807,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Sukma,8066,20,8037,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Kanker,23635,224,23406,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Narayanpur,4019,14,4004,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Bijapur,8319,55,8261,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
Other State,801,131,663,0,2021-10-26,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,2021-10-26 08:00:00+05:30,Chhattisgarh,https://twitter.com/HealthCgGov,https://twitter.com/HealthCgGov,1005898,13573,992076,23662
