"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1496697*","20487161*"
"2","Total No. of patients tested Positive","21856","782384"
"3","No. of patients discharged","20116","760390"
"4","Total Deaths reported","164","20470"
"5","Sample collected on the day","","11099"
"6","Test conducted on the day","","11032"
"7","Positive cases on the day","","169"
"8","Number of active Cases","","1524"
"9","No. of Patients on oxygen support","","69"
"10","Patients at critical care Level-3 facilities","","19"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218853"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117849"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","10"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211770"
"18","Frontline Workers vaccinated with 2nd dose on the day","","37"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018559"
"20","Above 45 Vaccinated with 1st dose on the day","","339"
"21","Total Above 45 Vaccinated with 1st dose","","8343075"
"22","Above 45 Vaccinated with 2nd dose on the day","","1628"
"23","Total Above 45 Vaccinated with 2nd dose","","7632690"
"24","18-44 years age group Vaccinated with 1st dose on the day","","958"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12648866"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4111"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10643249"
"28","15-17 years age group Vaccinated with 1st dose on the day","","700"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1109678"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1397"
"31","Total 15-17 years age group Vaccinated with 2nddose","","846279"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1175"
"33","Total 12-14 years age group Vaccinated with 1st dose","","661102"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1662"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","454482"
"36","Precautionary dose given on the day","","21425"
"37","Total Precautionary dose given","","1517639"
"38","Total Vaccination 1st dose on the day","","1305"
"39","Total Vaccination 2nd dose on the day","","5786"
"40","Total Vaccination 1st and 2nd dose on the day","","7091"
