"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","20,681"
"2","Number of persons tested positive today in Tamil Nadu","1,146"
"3","Total Number of persons tested positive till date","34,42,929"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","81,145/ 
6,37,28,093@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","79,735/ 
6,25,61,662"
"6","No. of Male / Female / Transgender tested positive today","670/476/0"
"7","No. of Male / Female / Transgender tested positive till date","20,09,507/14,33,384/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","4,229/ 
33,84,278"
"10","Total number of deaths today/ till date","8(2 Private &  
6 Govt) /37,970"
