"S. No","Subject","Number"
"1","Total Number of people vaccinated on 27th Jan","64,739"
"2","First Dose on 27th Jan","7,775"
"3","Second Dose on 27th Jan","49,888"
"4","Precaution Dose on 27th Jan","7,076"
"5","Cumulative Vaccination till 27th Jan","11,83,38,658"
"6","Cumulative Vaccination First Dose","6,87,66,539"
"7","Cumulative Vaccination Second Dose","4,88,86,496"
"8","Cumulative Precaution Dose","6,85,623"
"9","Number of CVC (Common Vaccination Centres)","1,277"
"10","Cumulative AEFI cases reported","6,694"
"11","Vaccine wastage","-7%"
