"S.No","District","Cumulative Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Di
scharged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","805665","31","50414","0","451","0","49771","192"
"2","ALWAR","1642726","109","85497","0","321","23","84898","278"
"3","BANSWARA","324945","1","14862","0","106","0","14702","54"
"4","BARAN","245786","3","15337","0","65","3","15263","9"
"5","BARMER","408273","1","21527","0","205","0","21303","19"
"6","BHARATPUR","477523","25","31489","0","274","0","31184","31"
"7","BHILWARA","512620","10","38529","0","162","14","38288","79"
"8","BIKANER","774338","4","50843","0","594","7","50178","71"
"9","BUNDI","237686","2","9717","0","55","0","9660","2"
"10","CHITTORGARH","457406","34","29615","0","140","0","29373","102"
"11","CHURU","439673","0","21022","0","115","0","20884","23"
"12","DAUSA","303391","25","16169","0","82","9","15924","163"
"13","DHOLPUR","291977","16","14003","0","49","0","13920","34"
"14","DUNGARPUR","331251","11","25618","0","134","0","25418","66"
"15","GANGANAGAR","423857","0","28199","0","160","0","28035","4"
"16","HANUMANGARH","490352","1","22555","0","115","0","22431","9"
"17","JAIPUR","3518711","176","279862","0","2116","60","276573","1173"
"18","JAISALMER","244455","7","17173","0","68","0","17032","73"
"19","JALORE","452356","2","10696","0","78","0","10571","47"
"20","JHALAWAR","424997","5","17849","1","209","1","17598","42"
"21","JHUNJHUNU","495944","0","19161","0","181","0","18980","0"
"22","JODHPUR","1447263","37","142683","0","1164","23","141283","236"
"23","KARAULI","246575","0","8971","0","85","0","8886","0"
