"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1780010","20770474"
"2","Total No. of patients tested Positive","24096","784624"
"3","No. of patients discharged","23678","763952"
"4","Total Deaths reported","200","20505"
"5","Sample collected on the day","","6491"
"6","Test conducted on the day","","6372"
"7","Positive cases on the day","","14"
"8","Number of active Cases","","167"
"9","No. of Patients on oxygen support","","10"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117938"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211952"
"18","Frontline Workers vaccinated with 2nd dose on the day","","0"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019223"
"20","Above 45 Vaccinated with 1st dose on the day","","5"
"21","Total Above 45 Vaccinated with 1st dose","","8346445"
"22","Above 45 Vaccinated with 2nd dose on the day","","21"
"23","Total Above 45 Vaccinated with 2nd dose","","7650713"
"24","18-44 years age group Vaccinated with 1st dose on the day","","27"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660475"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","83"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10693314"
"28","15-17 years age group Vaccinated with 1st dose on the day","","11"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114224"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","19"
"31","Total 15-17 years age group Vaccinated with 2nddose","","860624"
"32","12-14 years age group Vaccinated with 1st dose on the day","","31"
"33","Total 12-14 years age group Vaccinated with 1st dose","","676091"
"34","12-14 years age group Vaccinated with 2nddose on the day","","37"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","480486"
"36","Precautionary dose given on the day","","438"
"37","Total Precautionary dose given","","1758554"
"38","Total Vaccination 1st dose on the day","","32"
"39","Total Vaccination 2nd dose on the day","","105"
"40","Total Vaccination 1st and 2nd dose on the day","","137"
