"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1872241*","20862705*"
"2","Total No. of patients tested Positive","24430","784958"
"3","No. of patients discharged","24059","764333"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","3518"
"6","Test conducted on the day","","3494"
"7","Positive cases on the day","","13"
"8","Number of active Cases","","115"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218889"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117947"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211987"
"18","Frontline Workers vaccinated with 2nd dose on the day","","5"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019323"
"20","Above 45 Vaccinated with 1st dose on the day","","27"
"21","Total Above 45 Vaccinated with 1st dose","","8346937"
"22","Above 45 Vaccinated with 2nd dose on the day","","570"
"23","Total Above 45 Vaccinated with 2nd dose","","7653376"
"24","18-44 years age group Vaccinated with 1st dose on the day","","147"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662576"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","489"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10701796"
"28","15-17 years age group Vaccinated with 1st dose on the day","","78"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114976"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","299"
"31","Total 15-17 years age group Vaccinated with 2nddose","","864440"
"32","12-14 years age group Vaccinated with 1st dose on the day","","412"
"33","Total 12-14 years age group Vaccinated with 1st dose","","680405"
"34","12-14 years age group Vaccinated with 2nddose on the day","","727"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","490334"
"36","Precautionary dose given on the day","","1850"
"37","Total Precautionary dose given","","1797050"
"38","Total Vaccination 1st dose on the day","","175"
"39","Total Vaccination 2nd dose on the day","","1065"
"40","Total Vaccination 1st and 2nd dose on the day","","1240"
