"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1534297*","20524761*"
"2","Total No. of patients tested Positive","22347","782875"
"3","No. of patients discharged","20989","761263"
"4","Total Deaths reported","170","20476"
"5","Sample collected on the day","","9638"
"6","Test conducted on the day","","9458"
"7","Positive cases on the day","","113"
"8","Number of active Cases","","1136"
"9","No. of Patients on oxygen support","","50"
"10","Patients at critical care Level-3 facilities","","12"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218857"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117858"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","22"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211817"
"18","Frontline Workers vaccinated with 2nd dose on the day","","54"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018713"
"20","Above 45 Vaccinated with 1st dose on the day","","187"
"21","Total Above 45 Vaccinated with 1st dose","","8343752"
"22","Above 45 Vaccinated with 2nd dose on the day","","1199"
"23","Total Above 45 Vaccinated with 2nd dose","","7636245"
"24","18-44 years age group Vaccinated with 1st dose on the day","","581"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12650746"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2932"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10652517"
"28","15-17 years age group Vaccinated with 1st dose on the day","","243"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1110806"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","622"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","848866"
"32","12-14 years age group Vaccinated with 1st dose on the day","","429"
"33","Total 12-14 years age group Vaccinated with 1st dose","","663536"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","922"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","458180"
"36","Precautionary dose given on the day","","14206"
"37","Total Precautionary dose given","","1562906"
"38","Total Vaccination 1st dose on the day","","774"
"39","Total Vaccination 2nd dose on the day","","4207"
"40","Total Vaccination 1st and 2nd dose on the day","","4981"
