"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1096479","20085357"
"2","Total No. of patients tested Positive","7914","768502"
"3","No. of patients discharged","6123","746397"
"4","Total Deaths reported","54","20363"
"5","Sample collected on the day","","12118"
"6","Test conducted on the day","","11778"
"7","Positive cases on the day","","356"
"8","Number of active Cases","","1742"
"9","No. of Patients on oxygen support","","53"
"10","Patients at critical care Level-3 facilities","","7"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218764"
"14","Frontline Workers vaccinated with 1st dose on the day","","18"
"15","Total Frontline Workers vaccinated with 1st dose","","1117650"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","30"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211230"
"18","Frontline Workers vaccinated with 2nd dose on the day","","105"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016550"
"20","Above 45 Vaccinated with 1st dose on the day","","909"
"21","Total Above 45 Vaccinated with 1st dose","","8333859"
"22","Above 45 Vaccinated with 2nd dose on the day","","4670"
"23","Total Above 45 Vaccinated with 2nd dose","","7553458"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2066"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12614514"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","11395"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10460778"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1206"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1098192"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2943"
"31","Total 15-17 years age group Vaccinated with 2nddose","","810141"
"32","12-14 years age group Vaccinated with 1st dose on the day","","3631"
"33","Total 12-14 years age group Vaccinated with 1st dose","","626524"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5153"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","403803"
"36","Precautionary dose given on the day","","24836"
"37","Total Precautionary dose given","","861417"
"38","Total Vaccination 1st dose on the day","","2997"
"39","Total Vaccination 2nd dose on the day","","16200"
"40","Total Vaccination 1st and 2nd dose on the day","","19197"
