"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22975","","5281","","28256",""
"2","Total Active Cases","02 
(0.01%)","","01 
(0.02%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22805 
(99.3%)","","5220 
(98.8%)","","28025 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","00","","01","","01",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","89","","31","","120",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","89","","31","","120",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","70 
26 
09 
03 
108"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(16/05/2022)","","Test Done Today 
(17/05/2022)","","Cumulative"
"","","a)RTPCR","321222","","69","","321291"
"","","b)TRUENAT","13900","","10","","13910"
"","","c)RAT","348784","","41","","348825"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","685011","","120","","685131"
