"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21767","","4943","","26710",""
"2","Total Active Cases","666 
(3.1%)","","413 
(8.4%)","","1079 
(4.03%)",""
"3","Total Cured/ Discharged","20934 
(95.9%)","","4471                                  
(89.7%)","","(94.8%)",""
"4","Total Died","167 
(0.77%)","","59 
(1.2%)","","226 
(0.85%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","7","","25",""
"6","Total Positive cases in Home Isolation","557","","405","","962",""
"7","COVID Care Centre","86","","01","","87",""
"8","Facility Isolation","05","","0","","05",""
"9","No. of Samples Tested (Today)","323","","537","","860",""
"10","No. of Samples Positive (Today)","86","","64","","150",""
"11","No. of Samples Negative (Today)","235","","473","","708",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","537 
          00 
      00 
           37 
          574"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(03/01/2022)","","Test Done Today 
(04/02/2022)","","Cumulative"
"","","a)  RTPCR","280281","","706","","280987"
"","","b)  TRUENAT","11760","","25","","11785"
"","","c)  RAT","344237","","89","","344326"
"","","d)  CBNAAT","389","","40","","429"
"","","TOTAL","636667","","860","","637527"
