"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,172"
"2","Number of persons tested positive today in Tamil Nadu","421"
"3","Total Number of persons tested positive till date","35,85,427"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,100/ 
6,94,93,014@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,932/ 
6,82,73,940"
"6","No. of Male / Female / Transgender tested positive today","245/176/0"
"7","No. of Male / Female / Transgender tested positive till date","20,90,585/14,94,804/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","505/ 
35,42,208"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,047"
