"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23605","","5311","","28916",""
"2","Total Active Cases","79 
(0.33%)","","14 
(0.26%)","","93 
(0.32%)",""
"3","Total Cured/Discharged","23358 
(98.95%)","","5237 
(98.6%)","","28595 
(98.88%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","50","","14","","64",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","15","","00","","15",""
"9","No. of Samples Tested (Today)","255","","83","","338",""
"10","No. of Samples Positive (Today)","13","","03","","16",""
"11","No. of Samples Negative (Today)","241","","80","","321",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
09 
00 
60"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(01/08/2022)","","Test Done Today 
(02/08/2022)","","Cumulative"
"","","a)RTPCR","332638","","197","","332835"
"","","b)TRUENAT","14654","","17","","14671"
"","","c)RAT","355654","","120","","355774"
"","","d)  CBNAAT","1168","","04","","1172"
"","","TOTAL","704414","","338","","704752"
