"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","12","177353","87","176161","1105"
"2","Chittoor","8","272349","45","270304","2000"
"3","East Godavari","6","316454","204","314952","1298"
"4","Guntur","7","203205","65","201863","1277"
"5","YSR Kadapa","2","134875","17","134206","652"
"6","Krishna","2","136868","54","135318","1496"
"7","Kurnool","0","144241","6","143368","867"
"8","Nellore","0","164349","23","163236","1090"
"9","Prakasam","1","155911","13","154752","1146"
"10","Srikakulam","0","133932","6","133128","798"
"11","Visakhapatnam","9","190859","35","189640","1184"
"12","Vizianagaram","0","92231","11","91540","680"
"13","West Godavari","3","193279","67","192075","1137"
"","Total AP Cases","50","2315906","633","2300543","14730"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","50","2318801","633","2303438","14730"
