"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23728","","5322","","29050",""
"2","Total Active Cases","96 
(0.40%)","","06 
(0.11%)","","102 
(0.35%)",""
"3","Total Cured/Discharged","23464 
(98.9%)","","5256 
(98.8%)","","28720 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","73","","06","","79",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","08","","00","","08",""
"9","No. of Samples Tested (Today)","171","","28","","199",""
"10","No. of Samples Positive (Today)","06","","03","","09",""
"11","No. of Samples Negative (Today)","162","","25","","187",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
08 
00 
59"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(10/08/2022)","","Test Done Today 
(11/08/2022)","","Cumulative"
"","","a)RTPCR","34247","","98","","34345"
"","","b)TRUENAT","14765","","03","","14768"
"","","c)RAT","357648","","98","","357746"
"","","d)  CBNAAT","1187","","00","","1187"
"","","TOTAL","707847","","199","","708046"
