"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229223","223285","5894","44"
"12","Nashik","478557","469517","8918","122"
"13","Ahmednagar","380737","373424","7251","62"
"14","Jalgaon","150214","147438","2762","14"
"15","Nandurbar","46972","46006","963","3"
"16","Dhule","51450","50774","670","6"
"17","Aurangabad","178694","174375","4288","31"
"18","Jalna","67522","66271","1226","25"
"19","Beed","109715","106823","2889","3"
"20","Latur","106456","103902","2489","65"
"21","Parbhani","58799","57515","1281","3"
"22","Hingoli","22452","21927","517","8"
"23","Nanded","103305","100591","2705","9"
"24","Osmanabad","76787","74598","2139","50"
"25","Amravati","107022","105372","1626","24"
"26","Akola","66988","65484","1476","28"
"27","Washim","47406","46712","641","53"
"28","Buldhana","93168","92317","839","12"
"29","Yavatmal","82639","80811","1820","8"
"30","Nagpur","585799","576430","9224","145"
"31","Wardha","66350","64934","1410","6"
"32","Bhandara","69878","68718","1142","18"
"33","Gondia","45994","45390","588","16"
"34","Chandrapur","100096","98448","1597","51"
