"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","768519",19757390
"2","Total No. of patients tested Positive","2230","761303"
"3","No. of patients discharged","1728","742978"
"4","Total Deaths reported","13","17759"
"5","Sample collected on the day","","10793"
"6","Test conducted on the day","","10258"
"7","Positive cases on the day","","102"
"8","Number of active Cases","","566"
"9","No. of Patients on oxygen support","","13"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218661"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117427"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210502"
"18","Frontline Workers vaccinated with 2nd dose on the day","","5"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013526"
"20","Above 45 Vaccinated with 1st dose on the day","","32"
"21","Total Above 45 Vaccinated with 1st dose","","8322330"
"22","Above 45 Vaccinated with 2nd dose on the day","","1240"
"23","Total Above 45 Vaccinated with 2nd dose","","7383855"
"24","18-44 years age group Vaccinated with 1st dose on the day","","121"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12581103"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2318"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10109492"
"28","15-17 years age group Vaccinated with 1st dose on the day","","96"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1082579"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","285"
"31","Total 15-17 years age group Vaccinated with 2nddose","","742321"
"32","12-14 years age group Vaccinated with 1st dose on the day","","134"
"33","Total 12-14 years age group Vaccinated with 1st dose","","590121"
"34","12-14 years age group Vaccinated with 2nddose on the day","","263"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","317534"
"36","Precautionary dose given on the day","","426"
"37","Total Precautionary dose given","","703289"
"38","Total Vaccination 1st dose on the day","","154"
"39","Total Vaccination 2nd dose on the day","","3566"
"40","Total Vaccination 1st and 2nd dose on the day","","3720"
