"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","637361","3","37841","0","410","4","37414","17"
"2","ALWAR","1271904","0","59725","0","307","0","59405","13"
"3","BANSWARA","237856","0","10005","0","104","0","9901","0"
"4","BARAN","166881","0","11997","0","61","0","11936","0"
"5","BARMER","334894","1","15580","0","185","0","15386","9"
"6","BHARATPUR","387309","3","19604","0","260","0","19341","3"
"7","BHILWARA","402046","0","29783","0","156","0","29626","1"
"8","BIKANER","603243","3","40386","0","546","0","39815","25"
"9","BUNDI","179643","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","366675","0","19809","0","139","0","19670","0"
"11","CHURU","323565","0","16721","0","107","0","16614","0"
"12","DAUSA","214827","0","13354","0","62","0","13291","1"
"13","DHOLPUR","228331","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","255582","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","340648","0","19357","0","150","0","19205","2"
"16","HANUMANGARH","388002","3","16063","0","111","0","15942","10"
"17","JAIPUR","2576817","18","188110","0","1971","8","186010","129"
"18","JAISALMER","208706","0","13646","0","66","0","13578","2"
"19","JALORE","380349","0","10067","0","72","0","9995","0"
"20","JHALAWAR","291178","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","382257","3","14816","0","158","0","14654","4"
"22","JODHPUR","1169164","0","112428","0","1103","0","111316","9"
"23","KARAULI","174226","0","7156","0","70","0","7086","0"
