"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23027","","5283","","28310",""
"2","Total Active Cases","24 
(0.1%)","","02 
(0.04%)","","26 
(0.1%)",""
"3","Total Cured/Discharged","22835 
(99.2%)","","5221 
(98.8%)","","28056 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","02","","04",""
"6","Total Positive cases in Home Isolation","22","","00","","22",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","204","","25","","229",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","201","","25","","226",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","41 
33 
13 
05 
92"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(17/06/2022)","","Test Done Today 
(18/06/2022)","","Cumulative"
"","","a)RTPCR","324892","","172","","325064"
"","","b)TRUENAT","14223","","07","","14230"
"","","c)RAT","349937","","50","","349987"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","690157","","229","","690386"
