,Unnamed: 0,44,Unnamed: 1,फतहेपरु,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,8286,Unnamed: 5,0.2,Unnamed: 6,141,Unnamed: 7,4,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,सतं कबीर नगर,,0.0,,0.0,,8846.0,,0.0,,101.0,,4.0,,,,,
1,,46,,लसद्धार् ुनगर,,0.0,,0.0,,11522.0,,0.0,,102.0,,4.0,,,,,
2,,47,,अमठेी,,0.0,,0.0,,11482.0,,0.0,,145.0,,3.0,,,,,
3,,48,,अयोध्या,,0.0,,1.0,,18673.0,,0.0,,293.0,,3.0,,,,,
4,,49,,बागपत,,0.0,,0.0,,11059.0,,0.0,,143.0,,3.0,,,,,
5,,50,,एटा,,0.0,,0.0,,12101.0,,0.0,,100.0,,3.0,,,,,
6,,51,,गाजीपरु,,0.0,,0.0,,23873.0,,0.0,,295.0,,3.0,,,,,
7,,52,,मर्रुा,,0.0,,2.0,,25577.0,,0.0,,406.0,,3.0,,,,,
8,,53,,मऊ,,0.0,,0.0,,8935.0,,0.0,,86.0,,3.0,,,,,
9,,54,,लमर्ाुपरु,,0.0,,0.0,,11950.0,,0.0,,126.0,,3.0,,,,,
10,,55,,सोनभद्र,,0.0,,0.0,,18646.0,,0.0,,257.0,,3.0,,,,,
11,,56,,औरैय्या,,0.0,,0.0,,10783.0,,0.0,,211.0,,2.0,,,,,
12,,57,,िदंौली,,0.0,,0.0,,17528.0,,0.0,,378.0,,2.0,,,,,
13,,58,,हमीरपरु,,0.0,,1.0,,6062.0,,0.0,,102.0,,2.0,,,,,
14,,59,,हापड़ु,,0.0,,0.0,,15188.0,,0.0,,224.0,,2.0,,,,,
15,,60,,कानपरु देहात,,1.0,,0.0,,7124.0,,0.0,,110.0,,2.0,,,,,
16,,61,,पीलीभीत,,0.0,,0.0,,12725.0,,0.0,,205.0,,2.0,,,,,
17,,62,,शामली,,0.0,,0.0,,16693.0,,0.0,,48.0,,2.0,,,,,
18,,63,,बहराइि,,0.0,,0.0,,13410.0,,0.0,,178.0,,1.0,,,,,
19,,64,,क्रिरोजाबाद,,0.0,,2.0,,10563.0,,0.0,,136.0,,1.0,,,,,
20,,65,,कासगजं,,0.0,,0.0,,4884.0,,0.0,,55.0,,1.0,,,,,
21,,66,,मरुादाबाद,,0.0,,0.0,,46070.0,,0.0,,368.0,,1.0,,,,,
22,,67,,रामपरु,,0.0,,0.0,,14606.0,,0.0,,153.0,,1.0,,,,,
23,,68,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
24,,69,,सीतापरु,,0.0,,2.0,,15755.0,,0.0,,187.0,,1.0,,,,,
25,,70,,बदाय,,0.0,,0.0,,17911.0,,0.0,,101.0,,0.0,,,,,
26,,71,,बलरामपरु,,0.0,,0.0,,8115.0,,0.0,,139.0,,0.0,,,,,
27,,72,,हार्रस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
28,,73,,कौशाम्बी,,0.0,,0.0,,4878.0,,0.0,,72.0,,0.0,,,,,
29,,74,,महोबा,,0.0,,0.0,,4470.0,,0.0,,88.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5233.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,68.0,,101.0,,2045193.0,,0.0,,23492.0,,1278.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23492 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
