"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22789","","5272","","28061",""
"2","Total Active Cases","137 
(0.60%)","","01 
(0.02%)","","138 
(0.5%)",""
"3","Total Cured/ Discharged","22484 
(98.7%)","","5211                                  
(98.8%)","","(98.7%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","35","","01","","36",""
"7","COVID Care Centre","96","","00","","96",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","496","","138","","634",""
"10","No. of Samples Positive (Today)","15","","01","","16",""
"11","No. of Samples Negative (Today)","481","","137","","618",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","393 
        00 
        00 
        50 
       443"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(01/03/2022)","","Test Done Today 
(02/03/2022)","","Cumulative"
"","","a)  RTPCR","304427","","561","","304988"
"","","b)  TRUENAT","12334","","27","","12361"
"","","c)  RAT","346780","","45","","346825"
"","","d)  CBNAAT","828","","01","","829"
"","","TOTAL","664369","","634","","665003"
