"Total No. of Sample Taken Today","15370"
"Total No. of Positive Cases Detected Today","660"
"Total Active COVID-19 Patients","2735"
"Total No. of Active Cases under Home Isolation (28-07-2022)","2624"
"Total No. of Samples found Positive till date","1028047"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1014653"
"No. of Deaths","10636"
"Total No. of People Vaccinated Today","27332 
(1st Dose: 2132 
2nd Dose: 7875 
Precaution Dose: 17325)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23618825 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19644710 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1418335"
"Cumulative Coverage of Total COVID-19 Vaccination","44681870"
"COVID-19 Today (28-07-2022) Positivity Rate","4.72%"
"Recovery Rate","98.70%"
"Fatality Rate","1.03%"
