"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227058","221176","5876","6"
"12","Nashik","472852","463934","8910","8"
"13","Ahmednagar","377673","370416","7242","15"
"14","Jalgaon","149525","146764","2761","0"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50754","50081","670","3"
"17","Aurangabad","176523","172238","4284","1"
"18","Jalna","66324","65098","1224","2"
"19","Beed","109182","106297","2883","2"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58554","57272","1279","3"
"22","Hingoli","22172","21658","514","0"
"23","Nanded","102664","99959","2704","1"
"24","Osmanabad","75153","73014","2139","0"
"25","Amravati","105944","104321","1623","0"
"26","Akola","66181","64711","1470","0"
"27","Washim","45626","44981","641","4"
"28","Buldhana","92010","91172","836","2"
"29","Yavatmal","81980","80160","1820","0"
"30","Nagpur","576396","567175","9215","6"
"31","Wardha","65669","64261","1408","0"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98823","97229","1592","2"
