"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","766442","8","49677","1","445","17","49174","58"
"2","ALWAR","1535056","6","84357","0","320","13","84026","11"
"3","BANSWARA","300591","7","14701","0","106","20","14519","76"
"4","BARAN","220563","2","15231","0","64","14","15129","38"
"5","BARMER","396339","1","21448","0","205","0","21205","38"
"6","BHARATPUR","467021","1","31392","0","272","9","31097","23"
"7","BHILWARA","492690","2","38161","1","162","0","37992","7"
"8","BIKANER","712676","8","49838","0","584","0","49193","61"
"9","BUNDI","223101","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","444532","1","29358","0","140","0","29180","38"
"11","CHURU","414040","15","20773","0","114","0","20586","73"
"12","DAUSA","276192","0","15768","0","79","1","15674","15"
"13","DHOLPUR","271286","2","13741","0","49","0","13674","18"
"14","DUNGARPUR","324744","3","25497","0","134","0","25360","3"
"15","GANGANAGAR","413315","12","28105","0","158","0","27862","85"
"16","HANUMANGARH","476017","14","22438","0","114","5","22255","69"
"17","JAIPUR","3232387","134","273609","0","2109","89","270032","1468"
"18","JAISALMER","239650","4","17033","0","68","0","16942","23"
"19","JALORE","435873","0","10536","0","78","0","10433","25"
"20","JHALAWAR","363303","2","17688","0","207","3","17463","18"
"21","JHUNJHUNU","476084","5","19152","0","180","11","18908","64"
"22","JODHPUR","1371060","14","140838","0","1163","22","139547","128"
"23","KARAULI","229958","2","8963","0","84","0","8856","23"
