"Total No. of Sample Taken Today","14313"
"Total No. of Positive Cases Detected Today","907"
"Total Active COVID-19 Patients","4474"
"Total No. of Active Cases under Home Isolation (06-08-2022)","4294"
"Total No. of Samples found Positive till date","1035111"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1019967"
"No. of Deaths","10647"
"Total No. of People Vaccinated Today","17150 
(1st Dose: 891 
2nd Dose: 3532 
Precaution Dose: 12727)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23629636 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19687911 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1539336"
"Cumulative Coverage of Total COVID-19 Vaccination","44856883"
"COVID-19 Today (06-08-2022) Positivity Rate","6.34%"
"Recovery Rate","98.54%"
"Fatality Rate","1.03%"
