"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1319389*","20309852*"
"2","Total No. of patients tested Positive","16802","777362"
"3","No. of patients discharged","13790","754065"
"4","Total Deaths reported","91","20396"
"5","Sample collected on the day","","5576"
"6","Test conducted on the day","","5418"
"7","Positive cases on the day","","269"
"8","Number of active Cases","","2901"
"9","No. of Patients on oxygen support","","108"
"10","Patients at critical care Level-3 facilities","","21"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218816"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117773"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211613"
"18","Frontline Workers vaccinated with 2nd dose on the day","","37"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017874"
"20","Above 45 Vaccinated with 1st dose on the day","","220"
"21","Total Above 45 Vaccinated with 1st dose","","8339097"
"22","Above 45 Vaccinated with 2nd dose on the day","","2319"
"23","Total Above 45 Vaccinated with 2nd dose","","7605441"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1397"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12635230"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4351"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10579701"
"28","15-17 years age group Vaccinated with 1st dose on the day","","191"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1104957"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","701"
"31","Total 15-17 years age group Vaccinated with 2nddose","","834126"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1593"
"33","Total 12-14 years age group Vaccinated with 1st dose","","650275"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1216"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","437173"
"36","Precautionary dose given on the day","","19228"
"37","Total Precautionary dose given","","1232486"
"38","Total Vaccination 1st dose on the day","","1621"
"39","Total Vaccination 2nd dose on the day","","6715"
"40","Total Vaccination 1st and 2nd dose on the day","","8336"
