"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","5","158025","63","156869","1093"
"2","Chittoor","19","247984","278","245752","1954"
"3","East Godavari","14","294665","386","292989","1290"
"4","Guntur","12","178850","211","177389","1250"
"5","YSR Kadapa","8","115871","51","115176","644"
"6","Krishna","10","120238","366","118416","1456"
"7","Kurnool","0","124194","14","123326","854"
"8","Nellore","9","146851","264","145533","1054"
"9","Prakasam","1","138694","55","137510","1129"
"10","Srikakulam","10","123430","117","122524","789"
"11","Visakhapatnam","12","158378","132","157112","1134"
"12","Vizianagaram","0","83052","32","82348","672"
"13","West Godavari","1","179598","133","178345","1120"
"","Total AP Cases","101","2069830","2102","2053289","14439"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","101","2072725","2102","2056184","14439"
