"Total No. of Sample Taken Today","21217"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","180"
"Total Active COVID-19 Patients","1225"
"Total No. of Active Cases under Home Isolation (05-03-2022)","1122"
"Total No. of Samples found Positive till date 
Total Omicron Cases:830 (Active – 0, Discharged - 830)","982862"
"Total Positive COVID-19 Patients Recovered / Discharged till date","971043"
"No. of Deaths","10571"
"Total No. of People Vaccinated today","28105 
(1st Dose: 4295, 
2nd Dose: 22482 
Precaution Dose: 1328)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22873621 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 18yrs above population)","18127655 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","243143"
"Cumulative Coverage of Total COVID-19 Vaccination","41244419"
"COVID-19 Today (05-03-2022) Positivity Rate","0.85%"
"Recovery Rate","98.80%"
"Fatality Rate","1.08%"
"Tests Per Million Population","657724"
