"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18419","","3736","","22155",""
"2","Total Active Cases","148 
(0.80%)","","49 
(1.3%)","","197 
(0.89%)",""
"3","Total Cured/ Discharged","18110 
(98.3%)","","3629                                  
(97.1%)","","(98.1%)",""
"4","Total Died","161 
(0.87%)","","58 
(1.6%)","","219 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","00","","18",""
"6","Total Positive cases in Home Isolation","84","","49","","133",""
"7","COVID Care Centre","30","","0","","30",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","647","","339","","986",""
"10","No. of Samples Positive (Today)","12","","03","","15",""
"11","No. of Samples Negative (Today)","632","","336","","968",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","418 
           24 
       00 
            07 
          449"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(28/12/2021)","","Test Done Today 
(29/12/2021)","","Cumulative"
"","","a)  RTPCR","251478","","800","","252278"
"","","b)  TRUENAT","11233","","04","","11237"
"","","c)  RAT","338218","","182","","338400"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","601101","","986","","602087"
