"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23180","","5284","","28464",""
"2","Total Active Cases","111 
(0.48%)","","00 
(0%)","","111 
(0.4%)",""
"3","Total Cured/Discharged","22901 
(98.8%)","","5224 
(98.9%)","","28125 
(98.8%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.80%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","00","","19",""
"6","Total Positive cases in Home Isolation","86","","00","","86",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","06","","00","","06",""
"9","No. of Samples Tested (Today)","278","","62","","340",""
"10","No. of Samples Positive (Today)","35","","00","","35",""
"11","No. of Samples Negative (Today)","241","","62","","303",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
20 
19 
00 
86"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(01/07/2022)","","Test Done Today 
(02/07/2022)","","Cumulative"
"","","a)RTPCR","327546","","220","","327766"
"","","b)TRUENAT","14375","","19","","14394"
"","","c)RAT","350705","","101","","350806"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","693731","","340","","694071"
