"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","13,034"
"2","Number of persons tested positive today in Tamil Nadu","1,127"
"3","Total Number of persons tested positive till date","26,95,216"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,24,177/ 
5,03,00,938@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,23,724/ 
4,93,80,546"
"6","No. of Male / Female / Transgender tested positive today","628/499/0"
"7","No. of Male / Female / Transgender tested positive till date","15,73,005/11,22,173/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","306 (69 Govt+ 
237 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,358/ 
26,46,163"
"10","Total number of deaths today/ till date","15(5 Private &  
10 Govt) /36,019)"
