"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,228"
"2","Number of persons tested positive today in Tamil Nadu","1,357"
"","Passengers returned from other countries  by 
International airport tested positive today","Malaysia-1 
Sri Lanka-1"
"","Total","1,359"
"3","Total Number of persons tested positive till date","35,45,605"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,862/ 
6,81,76,114@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,261/ 
6,69,72,660"
"6","No. of Male / Female / Transgender tested positive today","812/547/0"
"7","No. of Male / Female / Transgender tested positive till date","20,67,325/14,78,242/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,802/ 
34,95,345"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
