"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,807+8","15,678+4","102","27+4","3-Jan-22"
"2","Coochbehar","29,965+14","29,788+15","99","78-1","3-Jan-22"
"3","Darjeeling","58,640+50","57,875+37","553","212+13","3-Jan-22"
"4","Kalimpong","7,190+2","7,115+4","55","20-2","3-Jan-22"
"5","Jalpaiguri","42,873+38","42,147+22","592","134+16","3-Jan-22"
"6","Uttar Dinajpur","20,217+21","19,926+7","241","50+14","3-Jan-22"
"7","Dakshin Dinajpur","18,771+10","18,524+14","176","71-4","3-Jan-22"
"8","Malda","34,192+94","33,761+34","188","243+60","3-Jan-22"
"9","Murshidabad","34,423+27","33,961+24","331","131+3","3-Jan-22"
"10","Nadia","75,456+98","74,112+79","903","441+19","3-Jan-22"
"11","Birbhum","42,746+219","41,874+82","299+4","573+133","3-Jan-22"
"12","Purulia","19,622+33","19,429+11","114","79+22","3-Jan-22"
"13","Bankura","37,199+50","36,764+25","276","159+25","3-Jan-22"
"14","Jhargram","12,438+18","12,353+9","27","58+9","3-Jan-22"
"15","Paschim Medinipur","54,719+93","53,936+41","514","269+52","3-Jan-22"
"16","Purba Medinipur","63,781+66","63,203+25","404","174+41","3-Jan-22"
"17","Purba Bardhaman","43,101+111","42,632+34","209","260+77","3-Jan-22"
"18","Paschim Bardhaman","60,410+348","58,962+168","368","1,080+180","3-Jan-22"
"19","Howrah","1,04,350+698","1,00,614+341","1,553+2","2,183+355","3-Jan-22"
"20","Hooghly","90,666+400","88,456+176","1,042","1,168+224","3-Jan-22"
"21","North 24 Parganas","3,41,221+1,391","3,32,155+608","5,028+3","4,038+780","3-Jan-22"
"22","South 24 Parganas","1,05,529+525","1,02,840+176","1,401+2","1,288+347","3-Jan-22"
"23","Kolkata","3,50,919+4,759","3,32,848+1,832","5,332+5","12,739+2,922","3-Jan-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","16,64,301+9,073","16,19,016+3,768","19,810+16","25,475+5,289",""
