"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","791283","3","49824","0","447","0","49348","29"
"2","ALWAR","1618230","11","84764","0","321","5","84397","46"
"3","BANSWARA","320627","0","14771","0","106","0","14665","0"
"4","BARAN","239596","0","15308","0","64","0","15240","4"
"5","BARMER","404529","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476305","0","31451","0","272","0","31179","0"
"7","BHILWARA","508523","1","38201","0","162","0","38029","10"
"8","BIKANER","749693","22","50046","0","587","10","49401","58"
"9","BUNDI","235853","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453157","6","29406","0","140","2","29253","13"
"11","CHURU","435994","2","20893","0","115","0","20754","24"
"12","DAUSA","294633","6","15857","0","81","2","15749","27"
"13","DHOLPUR","287384","0","13966","0","49","0","13916","1"
"14","DUNGARPUR","327910","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","423059","3","28159","0","158","0","27995","6"
"16","HANUMANGARH","488983","0","22522","0","114","1","22405","3"
"17","JAIPUR","3449666","37","276606","0","2113","36","274186","307"
"18","JAISALMER","242660","0","17036","0","68","0","16968","0"
"19","JALORE","446308","0","10552","0","78","1","10472","2"
"20","JHALAWAR","405597","1","17755","0","207","0","17542","6"
"21","JHUNJHUNU","493343","0","19160","0","181","0","18978","1"
"22","JODHPUR","1427471","7","141184","0","1164","0","139995","25"
"23","KARAULI","241217","0","8968","0","84","0","8884","0"
