"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1706577","20697041"
"2","Total No. of patients tested Positive","23819","784347"
"3","No. of patients discharged","23283","763557"
"4","Total Deaths reported","194","20499"
"5","Sample collected on the day","","7131"
"6","Test conducted on the day","","6937"
"7","Positive cases on the day","","31"
"8","Number of active Cases","","291"
"9","No. of Patients on oxygen support","","10"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218878"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117923"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211916"
"18","Frontline Workers vaccinated with 2nd dose on the day","","17"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019131"
"20","Above 45 Vaccinated with 1st dose on the day","","70"
"21","Total Above 45 Vaccinated with 1st dose","","8345956"
"22","Above 45 Vaccinated with 2nd dose on the day","","321"
"23","Total Above 45 Vaccinated with 2nd dose","","7648233"
"24","18-44 years age group Vaccinated with 1st dose on the day","","370"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12658360"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1059"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10685143"
"28","15-17 years age group Vaccinated with 1st dose on the day","","98"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113748"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","167"
"31","Total 15-17 years age group Vaccinated with 2nddose","","858501"
"32","12-14 years age group Vaccinated with 1st dose on the day","","260"
"33","Total 12-14 years age group Vaccinated with 1st dose","","673307"
"34","12-14 years age group Vaccinated with 2nddose on the day","","539"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","474408"
"36","Precautionary dose given on the day","","5842"
"37","Total Precautionary dose given","","1717881"
"38","Total Vaccination 1st dose on the day","","445"
"39","Total Vaccination 2nd dose on the day","","1400"
"40","Total Vaccination 1st and 2nd dose on the day","","1845"
