"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23959","","5337","","29296",""
"2","Total Active Cases","36 
(0.15%)","","00 
(0%)","","36 
(0.12%)",""
"3","Total Cured/Discharged","23753 
(99.14%)","","5277 
(98.9%)","","29030 
(99.09%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","18","","00","","18",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","16","","00","","16",""
"9","No. of Samples Tested (Today)","104","","33","","137",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","102","","33","","135",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","58 
38 
02 
00 
98"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(13/09/2022)","","Test Done Today 
(14/09/2022)","","Cumulative"
"","","a)RTPCR","38099","","82","","38181"
"","","b)TRUENAT","15097","","16","","15113"
"","","c)RAT","362979","","39","","363018"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","717400","","137","","717537"
