"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22960","","5280","","28240",""
"2","Total Active Cases","02 
(0.01%)","","02 
(0.04%)","","04 
(0.01%)",""
"3","Total Cured/Discharged","22790 
(99.3%)","","5218 
(98.8%)","","28008 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","00","","02","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","162","","09","","171",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","161","","09","","170",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","65 
00 
00 
12 
77"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(18/04/2022)","","Test Done Today 
(19/04/2022)","","Cumulative"
"","","a)RTPCR","318661","","129","","318790"
"","","b)TRUENAT","13364","","23","","13387"
"","","c)RAT","347995","","18","","348013"
"","","d)  CBNAAT","1078","","01","","1079"
"","","TOTAL","681098","","171","","681269"
