"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227141","221226","5879","36"
"12","Nashik","473273","464184","8911","178"
"13","Ahmednagar","377865","370547","7242","76"
"14","Jalgaon","149598","146818","2762","18"
"15","Nandurbar","46620","45657","962","1"
"16","Dhule","50797","50121","670","6"
"17","Aurangabad","176658","172316","4284","58"
"18","Jalna","66343","65113","1224","6"
"19","Beed","109229","106340","2885","4"
"20","Latur","105001","102461","2489","51"
"21","Parbhani","58595","57301","1279","15"
"22","Hingoli","22193","21668","514","11"
"23","Nanded","102700","99985","2704","11"
"24","Osmanabad","75202","73046","2139","17"
"25","Amravati","106003","104358","1624","21"
"26","Akola","66227","64736","1470","21"
"27","Washim","45711","45030","641","40"
"28","Buldhana","92064","91203","836","25"
"29","Yavatmal","81999","80165","1820","14"
"30","Nagpur","577086","567554","9215","317"
"31","Wardha","65726","64294","1408","24"
"32","Bhandara","68005","66827","1142","36"
"33","Gondia","45445","44842","587","16"
"34","Chandrapur","98921","97284","1592","45"
