"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","785505","3","49739","0","447","0","49286","6"
"2","ALWAR","1602337","4","84519","0","320","2","84162","37"
"3","BANSWARA","316394","0","14765","0","106","0","14657","2"
"4","BARAN","233643","0","15249","0","64","0","15185","0"
"5","BARMER","402540","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476232","0","31451","0","272","0","31178","1"
"7","BHILWARA","505986","0","38181","0","162","0","38017","2"
"8","BIKANER","738308","1","49911","0","586","0","49321","4"
"9","BUNDI","232609","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","451003","0","29377","0","140","0","29237","0"
"11","CHURU","433328","0","20824","0","114","0","20705","5"
"12","DAUSA","289886","0","15790","0","80","1","15703","7"
"13","DHOLPUR","282392","2","13918","0","49","7","13765","104"
"14","DUNGARPUR","327550","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","422071","0","28140","0","158","0","27980","2"
"16","HANUMANGARH","487763","0","22518","0","114","0","22402","2"
"17","JAIPUR","3392312","57","275387","0","2112","34","272854","421"
"18","JAISALMER","242197","0","17036","0","68","0","16968","0"
"19","JALORE","444022","0","10545","0","78","0","10467","0"
"20","JHALAWAR","390474","0","17709","0","207","0","17500","2"
"21","JHUNJHUNU","491779","0","19158","0","181","0","18977","0"
"22","JODHPUR","1416761","0","141100","0","1164","4","139936","0"
"23","KARAULI","237481","0","8968","0","84","0","8884","0"
