"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","157","42","0","38","206"
"2","ALWAR","492","105","0","35","534"
"3","BANSWARA","65","3","1","25","36"
"4","BARAN","43","1","0","0","8"
"5","BARMER","17","0","0","9","10"
"6","BHARATPUR","269","51","0","1","141"
"7","BHILWARA","510","4","0","12","66"
"8","BIKANER","139","9","0","2","57"
"9","BUNDI","3","0","0","0","6"
"10","CHITTORGARH","35","21","0","7","159"
"11","CHURU","0","0","0","15","8"
"12","DAUSA","87","3","0","31","172"
"13","DHOLPUR","0","0","0","0","33"
"14","DUNGARPUR","12","6","0","26","67"
"15","GANGANAGAR","4","4","0","3","7"
"16","HANUMANGARH","52","2","0","5","8"
"17","JAIPUR","1365","159","0","89","1470"
"18","JAISALMER","102","0","0","44","32"
"19","JALORE","160","4","0","27","31"
"20","JHALAWAR","349","3","1","5","41"
"21","JHUNJHUNU","346","0","0","0","1"
"22","JODHPUR","261","30","0","41","222"
"23","KARAULI","65","0","0","0","0"
"24","KOTA","453","4","0","17","86"
"25","NAGAUR","179","20","0","10","113"
"26","PALI","265","4","0","0","19"
